Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF/10V","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",108.0770,-72.5576,180.0000,top
"C2","100nF","C_0603_1608Metric",109.8550,-69.4570,-90.0000,top
"C3","10nF","C_0603_1608Metric",80.5180,-79.3750,90.0000,top
"C4","10nF","C_0603_1608Metric",78.7400,-79.3750,90.0000,top
"C5","10nF","C_0603_1608Metric",76.7080,-79.3750,90.0000,top
"C6","10nF","C_0603_1608Metric",74.9300,-79.3750,90.0000,top
"C7","10nF","C_0603_1608Metric",73.1215,-87.3684,180.0000,top
"C8","10nF","C_0603_1608Metric",73.1215,-89.1464,180.0000,top
"C9","10nF","C_0603_1608Metric",73.1266,-91.1860,180.0000,top
"C10","10nF","C_0603_1608Metric",73.1266,-92.9640,180.0000,top
"C11","10nF","C_0603_1608Metric",73.1266,-110.2487,180.0000,top
"C12","10nF","C_0603_1608Metric",73.1266,-112.0267,180.0000,top
"C13","10nF","C_0603_1608Metric",73.1393,-114.0079,180.0000,top
"C14","10nF","C_0603_1608Metric",73.1393,-115.7859,180.0000,top
"C15","10nF","C_0603_1608Metric",74.8792,-123.8250,-90.0000,top
"C16","10nF","C_0603_1608Metric",76.6572,-123.8250,-90.0000,top
"C17","10nF","C_0603_1608Metric",78.7019,-123.8250,-90.0000,top
"C18","10nF","C_0603_1608Metric",80.4799,-123.8250,-90.0000,top
"C19","100nF","C_0603_1608Metric",92.4814,-103.3138,90.0000,bottom
"C20","100nF","C_0603_1608Metric",90.1700,-102.8820,90.0000,bottom
"C21","100nF","C_0603_1608Metric",90.0430,-99.8848,-90.0000,bottom
"C22","100nF","C_0603_1608Metric",88.2193,-113.2281,-90.0000,top
"C23","100nF","C_0603_1608Metric",83.4441,-80.8228,90.0000,top
"C24","100nF","C_0603_1608Metric",111.2520,-110.2480,90.0000,bottom
"C25","100n","C_0603_1608Metric",90.6272,-123.3500,90.0000,bottom
"C26","100nF","C_0603_1608Metric",91.3384,-70.9676,0.0000,bottom
"C27","100nF","C_0603_1608Metric",106.2667,-69.2658,0.0000,bottom
"C28","100nF","C_0603_1608Metric",92.4179,-74.0156,90.0000,bottom
"C29","100nF","C_0603_1608Metric",104.0384,-70.6178,-90.0000,bottom
"C30","10uF","C_0805_2012Metric",104.0384,-74.4347,-90.0000,bottom
"C31","10uF","C_0805_2012Metric",90.5256,-74.2823,-90.0000,bottom
"C33","100nF","C_0603_1608Metric",95.8342,-103.2898,90.0000,bottom
"C34","100nF","C_0603_1608Metric",95.4532,-99.8862,-90.0000,bottom
"C35","100nF","C_0603_1608Metric",94.4372,-103.2898,90.0000,bottom
"C36","100nF","C_0603_1608Metric",88.2650,-106.8444,-90.0000,bottom
"C37","100nF","C_0603_1608Metric",92.9005,-122.6820,90.0000,top
"C38","100nF","C_0603_1608Metric",94.8055,-122.6820,90.0000,top
"C39","100nF","C_0603_1608Metric",94.4905,-107.8814,180.0000,bottom
"D1","M4","D_SMA",113.2840,-70.8660,90.0000,top
"J6","SAS_mini_1888174","SAS-mini_TEConnectivity_1888174_Vertical",119.0803,-102.7100,180.0000,top
"L2","BLM21PG300SN1D","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",87.4166,-103.1443,-90.0000,bottom
"L3","BLM21PG300SN1D","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",89.9160,-95.9256,-90.0000,bottom
"L6","BLM21PG300SN1D","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",88.5927,-125.2220,0.0000,top
"R1","100","R_0603_1608Metric",79.6290,-76.8350,180.0000,top
"R2","100","R_0603_1608Metric",75.8190,-76.8350,180.0000,top
"R3","100","R_0603_1608Metric",70.5815,-88.2574,-90.0000,top
"R4","100","R_0603_1608Metric",70.5866,-92.0750,-90.0000,top
"R5","100","R_0603_1608Metric",70.5866,-111.1377,-90.0000,top
"R6","100","R_0603_1608Metric",70.5993,-114.8969,-90.0000,top
"R7","100","R_0603_1608Metric",75.7682,-126.3650,0.0000,top
"R8","100","R_0603_1608Metric",79.5909,-126.3650,0.0000,top
"R9","100","R_0603_1608Metric",109.7280,-110.2360,90.0000,bottom
"R10","127","R_0603_1608Metric",95.3770,-125.2220,0.0000,top
"R11","83","R_0603_1608Metric",95.3770,-127.1270,180.0000,top
"R12","10k","R_0603_1608Metric",90.1802,-79.2632,-90.0000,bottom
"R13","10k","R_0603_1608Metric",88.2396,-85.9028,-90.0000,bottom
"R14","10k","R_0603_1608Metric",88.2396,-88.4047,-90.0000,bottom
"R15","10k","R_0603_1608Metric",91.6534,-94.9706,90.0000,bottom
"R16","10k","R_0603_1608Metric",93.2586,-94.9706,90.0000,bottom
"R17","10k","R_0603_1608Metric",94.8639,-94.9688,90.0000,bottom
"R20","127","R_0603_1608Metric",92.3290,-125.2220,180.0000,top
"R21","83","R_0603_1608Metric",92.3410,-127.1270,0.0000,top
"U1","AFE5801","VQFN-64_9.15x9.15mm_EP_7.5x7.5mm",90.4748,-98.7000,0.0000,top
"U2","LM1117MP-1,8/NO","SOT-223-3_TabPin2",97.4475,-73.2625,0.0000,bottom
"U3","LM1117MP-3,3/NO","SOT-223-3_TabPin2",110.2385,-73.4416,0.0000,bottom
