Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id
1,,C_Small-device,C1C2C3C4C5C6C7C8C9C10C11C12C13C14C15C16,10nF,C_0603_1608Metric,16,,5c70984812875079b91f8bef
2,,C_Small-device,C17C18C19C20C21C22C23C24C25C26C27C28C29C30C32C33C34C35C36,100nF,C_0603_1608Metric,19,,5c70984812875079b91f8bf2
3,,C_Small-device,C37C38,10uF,C_0805_2012Metric,2,,5c70984812875079b91f8bbd
4,,C_Small-device,C31,100uF/6V3,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,1,https://www.tme.eu/sk/katalog/#search=100uf+1210&s_field=accuracy&s_order=DESC&id_category=113185&page=1,5c70984812875079b91f8bbb
5,,D_Small-device,D1,M4,D_SMA,1,,5c70984512875079b91f88ac
6,,HEADER_2x03_PARALLEL-MLAB_HEADER,J11,+5V,Straight_2x03,1,,
7,,HEADER_1x02-MLAB_HEADER,J5J6J9,HEADER_1x02,Straight_1x02,3,,
8,,HEADER_2x04-MLAB_HEADER,J8,HEADER_2x04,Straight_2x04,1,,
9,,SAS_mini_1888174-MLAB_CONNECTORS,J10,SAS_mini_1888174,SAS-mini_TEConnectivity_1888174_Vertical,1,,624ede60592c2d62176d5a96
10,,SATA7-67491-1030-MLAB_CONNECTORS,J1J2J3J4J7,SATA7-67491-1030,SATA-7_THT_VERT_2,5,,5c70984712875079b91f8a7b
11,,L-device,L1L2L3,BLM21PG300SN1D,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3,,5c70984412875079b91f87fd
12,,R-device,R14R15,82,R_0603_1608Metric,2,,5c70984512875079b91f8955
13,,R-device,R1R2R3R4R5R6R7R8R19,100,R_0603_1608Metric,9,,5c70984512875079b91f8956
14,,R-device,R9R10,130,R_0603_1608Metric,2,,5cd08b17128750448e4542b1
15,,R-device,R11R12R13R16R17R18,10k,R_0603_1608Metric,6,,5c70984512875079b91f8962
16,,AFE5801-DENGS_lib,U1,AFE5801,VQFN-64_9.15x9.15mm_EP_7.5x7.5mm,1,https://www.ti.com/lit/ds/symlink/afe5801.pdf,624edf21592c2d62176d5abc
17,,LD1117S18TR-RESCUE-ADCoctoSPI01A,U2,"LM1117MP-1,8/NO",SOT-223-3_TabPin2,1,,5c70984712875079b91f8af6
18,,LD1117S33TR-RESCUE-ADCoctoSPI01A,U3,"LM1117MP-3,3/NO",SOT-223-3_TabPin2,1,,5c70984712875079b91f8af9
