Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C18","100nF","C_0603_1608Metric",90.6272,-123.3500,90.0000,bottom
"C22","100nF","C_0603_1608Metric",91.2250,-110.2000,0.0000,bottom
"C23","100nF","C_0603_1608Metric",111.2520,-110.2480,90.0000,bottom
"C24","100nF","C_0603_1608Metric",91.3384,-70.9676,0.0000,bottom
"C25","100nF","C_0603_1608Metric",106.2667,-69.0000,0.0000,bottom
"C26","100nF","C_0603_1608Metric",89.8000,-96.4250,-90.0000,bottom
"C27","100nF","C_0603_1608Metric",98.5000,-109.6000,-90.0000,bottom
"C28","100nF","C_0603_1608Metric",87.4250,-100.2000,180.0000,bottom
"C29","100nF","C_0603_1608Metric",91.0000,-106.9000,90.0000,bottom
"C30","100nF","C_0603_1608Metric",95.5000,-91.3750,90.0000,bottom
"C32","100nF","C_0603_1608Metric",92.5000,-106.9000,90.0000,bottom
"C33","100nF","C_0603_1608Metric",96.4000,-109.6000,-90.0000,bottom
"C35","100nF","C_0603_1608Metric",92.2000,-74.0156,90.0000,bottom
"C36","100nF","C_0603_1608Metric",104.0384,-70.6178,-90.0000,bottom
"C37","10uF","C_0805_2012Metric",104.0384,-74.4347,-90.0000,bottom
"C38","10uF","C_0805_2012Metric",90.3000,-74.2823,-90.0000,bottom
"L2","BLM21PG300SN1D","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",89.6000,-93.0750,-90.0000,bottom
"L3","BLM21PG300SN1D","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",87.4166,-103.1443,-90.0000,bottom
"R11","10k","R_0603_1608Metric",90.1802,-79.2632,-90.0000,bottom
"R12","10k","R_0603_1608Metric",88.4000,-85.6750,-90.0000,bottom
"R13","10k","R_0603_1608Metric",88.4000,-88.6750,-90.0000,bottom
"R16","10k","R_0603_1608Metric",91.4000,-94.9706,90.0000,bottom
"R17","10k","R_0603_1608Metric",93.1000,-94.9706,90.0000,bottom
"R18","10k","R_0603_1608Metric",95.0000,-94.9688,90.0000,bottom
"R19","100","R_0603_1608Metric",109.7280,-110.2360,90.0000,bottom
"U2","LM1117MP-1,8/NO","SOT-223-3_TabPin2",97.6000,-73.2625,0.0000,bottom
"U3","LM1117MP-3,3/NO","SOT-223-3_TabPin2",110.2385,-73.4416,0.0000,bottom
